hhid,choice,PPkStk,PBBStk,PFlStk,PHseStk,PGenStk,PImpStk,PSSTub,PPkTub,PFlTub,PHseTub
2100685,3,0.39,0.58,0.99,0.29,0.33,0.69,0.63,1.09,1.19,0.56
2100693,9,0.62,0.5,1.13,0.57,0.36,0.93,0.85,1.16,1.19,0.59
2100693,9,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2100693,9,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2100693,4,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2100693,9,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
2100693,9,0.62,0.61,0.99,0.49,0.33,0.75,0.65,1.09,1.19,0.59
2100693,4,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2100693,9,0.58,0.6,0.99,0.45,0.33,0.75,0.65,1.07,1.19,0.59
2100693,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100693,3,0.58,0.58,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
2100693,9,0.58,0.25,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
2100693,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100693,9,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100693,9,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.08,1.19,0.56
2100693,3,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.08,1.19,0.56
2100693,9,0.29,0.5,0.99,0.29,0.33,0.69,0.56,1.09,1.19,0.56
2100693,1,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2100750,1,0.29,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.33
2100750,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2100750,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2100750,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2100750,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100750,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100750,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.11,1.19,0.56
2100750,1,0.29,0.55,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2100750,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2100834,7,0.62,0.5,1.09,0.57,0.36,0.93,0.75,1.09,1.19,0.59
2100834,7,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100834,10,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100834,2,0.58,0.44,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100834,7,0.39,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2100875,7,0.63,0.67,0.99,0.57,0.49,0.93,0.71,0.98,1.17,0.59
2100875,10,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2100875,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100933,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2100933,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101188,3,0.67,0.67,1.08,0.57,0.39,0.83,0.85,0.98,1.17,0.59
2101188,3,0.66,0.59,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2101188,3,0.29,0.32,0.99,0.64,0.34,0.58,0.79,1.09,1.19,0.64
2101188,3,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2101188,3,0.62,0.61,0.99,0.57,0.36,0.73,0.85,1.09,1.19,0.58
2101188,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101188,3,0.29,0.5,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
2101188,3,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.57
2101188,3,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101295,1,0.63,0.59,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2101295,1,0.66,0.59,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2101295,1,0.62,0.5,1.09,0.57,0.36,1.23,0.85,1.24,1.34,0.71
2101295,1,0.62,0.5,1.09,0.58,0.34,1.07,0.85,1.1,1.19,0.63
2101295,4,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2101295,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2101295,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101295,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2101295,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101295,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101303,2,0.63,0.59,1.09,0.57,0.33,0.75,0.85,0.98,0.69,0.59
2101303,1,0.63,0.72,0.99,0.57,0.36,0.42,0.85,1.09,1.19,0.52
2101303,1,0.62,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
2101303,1,0.62,0.29,1.1,0.58,0.33,0.95,0.85,1.09,1.19,0.6
2101303,1,0.62,0.5,1.09,0.57,0.33,0.78,0.85,1.09,1.19,0.59
2101303,1,0.5,0.6,0.99,0.45,0.33,0.75,0.85,1.08,1.19,0.59
2101303,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101303,1,0.58,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,2,0.62,0.5,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
2101378,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2101378,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101378,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101378,4,0.25,0.61,0.99,0.45,0.33,0.74,0.85,1.09,1.19,0.59
2101378,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101378,6,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,1,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,6,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101378,2,0.58,0.45,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,4,0.58,0.58,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2101378,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.57
2101378,6,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.57
2101378,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2101378,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.1,1.19,0.56
2101451,8,0.46,0.67,1.09,0.57,0.35,0.93,0.85,1.09,1.19,0.33
2101451,8,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.2,0.33
2101451,8,0.63,0.65,1.09,0.56,0.36,0.93,0.85,1.09,1.19,0.6
2101451,8,0.63,0.67,0.99,0.57,0.36,0.87,0.64,1.09,1.15,0.59
2101451,8,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2101451,8,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2101451,8,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
2101451,8,0.62,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2101451,8,0.62,0.5,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
2101451,8,0.62,0.61,0.99,0.33,0.36,0.75,0.65,1.09,1.2,0.58
2101451,8,0.62,0.5,0.99,0.57,0.33,0.75,0.85,1.09,1.19,0.59
2101451,8,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
2101451,8,0.62,0.61,0.99,0.45,0.33,0.75,0.65,1.09,1.19,0.59
2101451,8,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101451,8,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101451,8,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101451,8,0.5,0.6,0.99,0.45,0.33,0.75,0.85,1.07,1.19,0.59
2101451,8,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101451,8,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101451,8,0.58,0.45,0.99,0.45,0.34,0.72,0.65,1.07,1.19,0.59
2101451,8,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101451,8,0.58,0.55,0.99,0.37,0.34,0.72,0.65,1.07,1.19,0.59
2101451,8,0.58,0.25,0.99,0.29,0.34,0.72,0.5,1.07,1.19,0.59
2101451,8,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.07,1.19,0.56
2101451,8,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101451,8,0.29,0.45,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101451,8,0.58,0.19,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2101451,8,0.58,0.58,0.99,0.29,0.34,0.69,0.63,1.07,1.19,0.56
2101618,7,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.12,1.19,0.56
2101618,8,0.47,0.54,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101675,4,0.58,0.53,0.99,0.33,0.33,0.72,0.85,1.07,1.18,0.59
2101675,4,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2101675,7,0.58,0.58,0.99,0.29,0.34,0.69,0.5,1.07,1.19,0.56
2101675,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101741,7,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101741,7,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2101741,7,0.39,0.55,0.99,0.29,0.34,0.69,0.56,1.09,1.19,0.56
2101758,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101758,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2101758,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101758,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101758,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101949,1,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2101949,2,0.63,0.67,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.58
2101949,1,0.62,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2101949,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2101949,8,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2101949,1,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,1,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,1,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,1,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,1,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2101949,8,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101949,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101956,9,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2101956,1,0.62,0.5,0.99,0.57,0.36,0.6,0.85,1.09,1.24,0.47
2101956,8,0.62,0.5,0.99,0.57,0.36,0.6,0.85,1.09,1.24,0.47
2101956,9,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101956,2,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101956,9,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101956,2,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101956,2,0.58,0.45,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2101956,8,0.58,0.45,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2101956,2,0.58,0.45,1.02,0.25,0.34,0.92,0.85,1.07,1.19,0.59
2102046,2,0.29,0.5,1.01,0.57,0.36,0.69,0.66,1.09,1.19,0.59
2102046,1,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
2102046,1,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
2102046,1,0.62,0.6,0.99,0.33,0.36,0.79,0.85,1.09,1.19,0.57
2102046,1,0.62,0.61,0.99,0.53,0.36,0.71,0.85,1.09,1.19,0.59
2102046,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102046,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102046,1,0.5,0.58,0.99,0.19,0.33,0.69,0.85,1.07,1.19,0.59
2102046,1,0.58,0.45,1.02,0.25,0.34,0.92,0.85,1.07,1.19,0.59
2102046,1,0.58,0.58,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
2102046,1,0.19,0.6,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2102046,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2102046,1,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2102087,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102087,2,0.58,0.19,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2102152,1,0.63,0.67,0.99,0.57,0.49,0.93,0.85,0.98,1.17,0.59
2102152,1,0.63,0.67,1.08,0.57,0.33,0.93,0.85,0.98,1.17,0.59
2102152,1,0.63,0.67,1.08,0.57,0.33,0.93,0.85,0.98,1.17,0.59
2102152,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102152,1,0.5,0.5,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2102152,1,0.58,0.58,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.55
2102186,2,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2102186,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2102186,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2102186,1,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2102186,1,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2102186,4,0.62,0.61,1.09,0.29,0.36,0.75,0.85,1.09,1.19,0.59
2102186,5,0.62,0.61,0.99,0.33,0.36,0.75,0.85,1.09,1.2,0.58
2102186,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,8,0.62,0.61,0.99,0.48,0.33,0.75,0.85,1.09,1.19,0.59
2102186,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102186,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102186,1,0.5,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102186,2,0.58,0.25,0.99,0.27,0.33,0.92,0.85,1.07,1.19,0.59
2102186,1,0.58,0.45,0.99,0.29,0.33,0.78,0.85,1.07,1.19,0.58
2102186,1,0.29,0.5,0.99,0.3,0.33,0.72,0.85,1.07,1.19,0.59
2102186,2,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2102186,3,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2102186,1,0.19,0.51,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2102186,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2102228,9,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2102228,9,0.29,0.5,0.99,0.57,0.35,0.69,0.79,1.09,1.19,0.67
2102228,3,0.62,0.61,0.99,0.49,0.34,0.75,0.65,1.09,1.19,0.59
2102228,3,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2102228,3,0.29,0.5,0.99,0.29,0.34,0.69,0.56,1.09,1.19,0.56
2102251,4,0.63,0.67,1.1,0.57,0.36,0.93,0.85,1.08,1.18,0.33
2102251,6,0.63,0.63,1.11,0.58,0.36,0.33,0.85,1.08,1.19,0.47
2102251,2,0.62,0.29,1.1,0.58,0.33,0.95,0.85,1.09,1.19,0.6
2102251,4,0.62,0.51,0.99,0.57,0.36,0.71,0.85,1.12,1.11,0.63
2102251,4,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102251,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102251,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102251,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102251,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2102251,1,0.5,0.58,0.99,0.19,0.33,0.72,0.85,1.07,1.19,0.59
2102251,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2102251,4,0.58,0.65,0.99,0.25,0.34,0.72,0.85,1.07,1.19,0.59
2102251,4,0.58,0.58,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2102251,4,0.58,0.53,0.99,0.33,0.33,0.72,0.85,1.07,1.18,0.59
2102251,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2102277,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2102277,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2102285,3,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2102426,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.18,1.19,0.59
2102426,2,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2102426,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2103200,1,0.63,0.67,1.08,0.57,0.49,0.77,0.73,0.98,1.17,0.5
2103200,1,0.67,0.67,1.08,0.57,0.49,0.83,0.85,0.98,1.17,0.5
2103200,2,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2103309,4,0.63,0.67,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2103309,4,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2103309,4,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2103309,4,0.63,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.58
2103309,4,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2103309,4,0.62,0.5,1.09,0.29,0.38,0.75,0.85,1.09,1.19,0.59
2103309,4,0.62,0.61,0.99,0.49,0.34,0.75,0.85,1.09,1.19,0.59
2103309,4,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2103309,4,0.5,0.58,0.99,0.45,0.34,0.72,0.86,1.07,1.19,0.59
2103309,4,0.58,0.58,0.99,0.45,0.33,0.79,0.89,1.09,1.19,0.68
2103309,4,0.58,0.45,0.99,0.25,0.29,0.72,0.9,1.11,1.19,0.77
2103309,1,0.29,0.51,0.99,0.33,0.33,0.72,0.85,1.07,1.21,0.59
2103309,4,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2103309,4,0.58,0.5,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2103416,1,0.63,0.67,1.09,0.57,0.39,0.93,0.85,0.98,1.17,0.59
2103416,5,0.66,0.67,1.09,0.57,0.33,0.93,0.85,1.07,1.19,0.59
2103416,4,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2103416,7,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2103416,4,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2103416,7,0.62,0.6,0.99,0.33,0.36,0.79,0.85,1.09,1.19,0.57
2103416,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2103416,7,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2103416,7,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2103416,1,0.29,0.5,0.99,0.33,0.34,0.72,0.85,1.07,1.19,0.59
2103416,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2103416,7,0.47,0.54,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2103630,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2103630,9,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2103630,6,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2103630,2,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2103630,1,0.29,0.5,0.99,0.33,0.34,0.72,0.85,1.07,1.19,0.59
2103630,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2103697,6,0.67,0.67,1.08,0.57,0.39,0.83,0.85,0.98,1.17,0.5
2103697,2,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2103721,1,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.42
2103721,1,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2103721,1,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2103721,4,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2103721,4,0.5,0.58,0.99,0.19,0.33,0.72,0.85,1.07,1.19,0.59
2103879,5,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.55
2103911,7,0.63,0.67,1.08,0.57,0.49,0.79,0.85,0.98,1.17,0.59
2103911,1,0.63,0.67,1.09,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2103911,1,0.19,0.59,1.08,0.57,0.42,1.03,0.85,1.09,1.19,0.6
2103911,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2103911,1,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2103911,4,0.58,0.65,0.99,0.25,0.34,0.72,0.85,1.07,1.19,0.59
2103911,1,0.58,0.58,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
