hhid;Income.1;Income.2;Income.3;Income.4;Income.5;Income.6;Income.7;Income.8;Income.9;Income.10;FamSize.1;FamSize.2;FamSize.3;FamSize.4;FamSize.5;FamSize.6;FamSize.7;FamSize.8;FamSize.9;FamSize.10;college.1;college.2;college.3;college.4;college.5;college.6;college.7;college.8;college.9;college.10;retired.1;retired.2;retired.3;retired.4;retired.5;retired.6;retired.7;retired.8;retired.9;retired.10
2101949;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2101956;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2102046;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2102087;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2102152;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2102186;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2102228;130;130;130;130;130;130;130;130;130;130;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2102251;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2102277;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2102285;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2102426;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2103200;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2103309;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2103416;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2103630;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2103697;87.5;87.5;87.5;87.5;87.5;87.5;87.5;87.5;87.5;87.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2103721;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2103879;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2103911;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2103978;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2104109;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2104240;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2104273;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;6;6;6;6;6;6;6;6;6;6;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2104406;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2104455;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2104638;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2104695;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2104919;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2104950;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2105254;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2105296;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2105486;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2105551;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2105932;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2106013;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2106195;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2106294;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2106302;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2106310;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2106369;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2106377;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2106427;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2106567;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2106799;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2107094;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2107243;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2107318;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2107391;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2107698;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2107706;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2107888;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2107953;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2107979;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108142;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108159;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108209;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108225;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2108431;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2108506;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2108522;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108530;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2108548;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108571;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108621;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2108639;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108670;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2108704;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2109033;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2109157;55;55;55;55;55;55;55;55;55;55;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2109199;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2109686;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2109967;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2109991;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2110023;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2110122;87.5;87.5;87.5;87.5;87.5;87.5;87.5;87.5;87.5;87.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2110189;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2110296;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2110593;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2110775;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2110817;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2110833;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2110965;55;55;55;55;55;55;55;55;55;55;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111013;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2111104;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111120;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111385;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111427;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;42.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111492;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2111526;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2111583;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2111609;55;55;55;55;55;55;55;55;55;55;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111765;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2111872;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111922;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2111948;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2112193;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2112235;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2112243;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2112730;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2112847;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2113019;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2113043;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2113175;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2113266;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2113340;55;55;55;55;55;55;55;55;55;55;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2113464;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;32.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2113472;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2113597;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2113639;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;27.5;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
2113696;55;55;55;55;55;55;55;55;55;55;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2113779;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
